post_id,url,title,ai_model,author_name,author_url,author_avatar_url,original_post_url,image_urls,image_paths,prompt,published_date,original_language,category,source_category,likes_count,views_count,shares_count,comments_count,saved_count,cited_from,created_at
dramatic-red-background-cinematic-portrait-27693,https://youmind.com/prompts/dramatic-red-background-cinematic-portrait-27693,Dramatic Red Background Portrait,GPT Image 2,dreamy digital arts,https://x.com/dreamydigiarts,https://unavatar.io/x/dreamydigiarts,https://x.com/dreamydigiarts/status/2073362636234719581,"[""https://cms-assets.youmind.com/media/1783241304702_7jdvkz_HMYQBinbEAATSdw.jpg""]","[""data\\images\\dramatic-red-background-cinematic-portrait-27693.jpg""]","A dramatic close-up portrait of a woman with shoulder-length wavy blonde hair and intense green eyes gazing directly at the viewer.

Subject: A fair-skinned woman with a sharp jawline, defined cheekbones, and a serious, stoic expression. Her hair is styled in loose waves that frame her face, catching highlights from the light source.

Clothing: She wears a black ribbed turtleneck sweater that covers her neck and shoulders, providing a stark contrast to her skin tone.

Lighting: Strong directional lighting illuminates the left side of her face while casting deep shadows on the right, creating high contrast and emphasizing facial contours. The light source appears warm, reflecting off her forehead and nose.

Environment: A solid, dark red background that fills the frame behind the subject, isolating her from any external context.

Camera: Tight head-and-shoulders framing with a shallow depth of field that keeps the face in sharp focus while softly blurring the edges of the hair.

Style Details: Photorealistic cinematic portrait style with high dynamic range, rich color saturation, and a polished studio finish.",2026-07-04T11:05:48.000Z,EN,"Profile / Avatar, Photography, Cinematic / Film Still, Portrait / Selfie",gpt-2,16,585,0,5,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:49.126314
playful-winking-japanese-girl-selfie-27686,https://youmind.com/prompts/playful-winking-japanese-girl-selfie-27686,Playful Winking Japanese Girl Room Selfie,GPT Image 2,Prompt アトリエ｜AI画像プロンプト,https://x.com/CyberTotal2026,https://unavatar.io/x/CyberTotal2026,https://x.com/CyberTotal2026/status/2073362686738645202,"[""https://cms-assets.youmind.com/media/1783241301055_zpfio7_HMRX-E0bwAA_Bd1-900x1125.jpg""]","[""data\\images\\playful-winking-japanese-girl-selfie-27686.jpg""]","Subject:
mischievous face

Person/Expression:
A woman in her 20s. Natural and mature Japanese photography atmosphere. Loose dark brown tied-up hair, thin see-through bangs, a few loose strands around the face. Clear and elegant Japanese-style makeup, natural skin texture, pale blush on cheeks. Winking one eye strongly while looking at the camera with the other eye slightly wide. A bright playful face with the tongue slightly out to the side and teeth showing. Natural tension around eyebrows, cheeks, and nose—joking but not vulgar.

Clothing/Pose:
Ivory ribbed sleeveless top, brown room shorts. The front zip of the top is open about one-third from the top, the bottom is closed. No logos or text, no transparency, no extra exposure. Leaning forward toward the camera, right hand on the edge of the bed for support, left hand on the thigh. Hips pushed back, shoulders slightly turned inward for a close-range selfie-style pose.

Background/Light:
A small one-room bedroom. Gray curtains on the right, a white bed in the foreground right, low shelves in the back left, a small warm-colored lamp, houseplants, wood grain floor. A clean, calm space with a lived-in feel. Warm light from the back left lamp, soft auxiliary light from a smartphone shot from slightly above the front, brightly illuminating the face, shoulders, and hair surface. Shadows fall thinly behind and on the floor, the curtain side is slightly darker.

Composition/Camera:
Vertical 4:5. Smartphone close-up selfie style. Camera at a slightly high angle for a light overhead view. Somewhat wide-angle, with the face positioned large in the upper center of the screen. The person occupies about 80% of the screen, leaving background naturally on the sides. Focus on the face, with hair ends and background lightly and softly blurred. Natural perspective of face, shoulders, arms, and torso despite close distance.

Texture/Style:
High-quality realistic Japanese photography. Natural skin texture, modest gloss, no excessive skin correction. Warm indoor colors, soft contrast, intimate distance typical of smartphone photos. Clean lifestyle photo, light film grain, natural finish with minimal AI feel.

Negative:
Minors, infantile, vulgar expressions, transparent materials, lingerie-like, logos, text, watermarks, extra people, facial collapse, unnatural distortion of eyes, tongue or teeth failure, missing or extra fingers, fused arms or shoulders, unnatural perspective, shadows inconsistent with light sources, plastic skin, excessive HDR, excessive sharpening.",2026-07-04T11:06:00.000Z,JA,"Profile / Avatar, Social Media Post, Photography, Portrait / Selfie",gpt-2,166,6,6,4,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:44.003993
anime-lace-garden-girl-27711,https://youmind.com/prompts/anime-lace-garden-girl-27711,Anime Girl in Lace Garden Outfit,GPT Image 2,ハスノ＠核心ぶち抜きヒーラー／天空図書館夫婦,https://x.com/00_hasu_00,https://unavatar.io/x/00_hasu_00,https://x.com/00_hasu_00/status/2073367068943307205#reversed-0,"[""https://cms-assets.youmind.com/media/1783241316926_jz8gce_HMYT3tvbYAA7meh-900x1200.jpg""]","[""data\\images\\anime-lace-garden-girl-27711.jpg""]","Create a soft, highly detailed anime-style full-body illustration of a cheerful young woman sitting sideways on a rustic wooden bench in a sunlit flower garden. She has long black hair in exactly two loose braids, bright blue eyes, fair skin, and a gentle smiling expression, looking toward the viewer. She wears a taupe baseball cap, an ivory lace long-sleeve blouse with delicate floral embroidery, sheer frilled cuffs, a lace-trimmed neckline with a small bow, and many fluttering layered ruffles. Her skirt is a long asymmetrical bohemian tiered skirt in rusty terracotta red with ornate paisley patterns, cascading uneven hems, translucent cream underskirt layers, and extra flowing frills. Add cream lace ankle socks and beige lace-up platform sneakers. She carries a small beige crossbody satchel with a flap, tassel charm, stitched details, and a thin strap crossing her torso. Pose her with one hand resting lightly near the bag strap and the other hand on the bench, legs relaxed together and feet forward. The setting is an outdoor countryside garden path lined with abundant wildflowers: white daisies, pink cosmos, lavender and purple blossoms, yellow flowers, and soft green foliage on both sides, with a dirt path receding into the background and leafy trees under a pale blue sky. Use warm natural daylight, airy pastel colors, shallow depth of field, painterly anime rendering, fine lace texture, intricate fabric folds, delicate ruffles, soft highlights, and a dreamy romantic atmosphere. Foreground flowers should be softly blurred for depth. No text, no watermark, no extra characters.",2026-07-04T11:23:25.000Z,EN,"Social Media Post, Anime / Manga, Character, Landscape / Nature",gpt-2,7,420,1,1,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:39.239483
playground-poster-portrait-27706,https://youmind.com/prompts/playground-poster-portrait-27706,Joyful Playground Poster Portrait,GPT Image 2,serein,https://x.com/you1873118,https://unavatar.io/x/you1873118,https://x.com/you1873118/status/2073367738505113678#reversed-0,"[""https://cms-assets.youmind.com/media/1783241313925_a5c4g3_HMYU9VqasAA64Mx-900x1200.jpg"", ""https://cms-assets.youmind.com/media/1783241313922_q7nrv5_HMYU9VeacAAVupy-900x1200.jpg"", ""https://cms-assets.youmind.com/media/1783241313933_5gwbl3_HMYU9VhaYAAuxuY-900x1200.jpg"", ""https://cms-assets.youmind.com/media/1783241314607_kybipx_HMYU9VpasAAZy26-900x1200.jpg""]","[""data\\images\\playground-poster-portrait-27706.jpg"", ""data\\images\\playground-poster-portrait-27706_2.jpg"", ""data\\images\\playground-poster-portrait-27706_3.jpg"", ""data\\images\\playground-poster-portrait-27706_4.jpg""]","Create a vibrant lifestyle fashion photo at a playground, styled like a colorful youthful magazine poster. A cheerful young woman with long dark brown hair sits on a blue rubber playground floor beneath a green tube slide and bright yellow climbing stairs and railings. She is smiling warmly at the camera with a natural, unforgettable expression, one arm stretched upward holding the green slide support bar and the other hand resting behind her on the ground. She wears a pale cream short-sleeve blouse, a flowing bright sky-blue midi skirt, white crew socks, vivid red sneakers, and small colorful hair clips. Use a slightly high-angle wide composition with her legs extended diagonally toward the lower left, the playground equipment filling the background, saturated teal-blue flooring, green slide, and lemon-yellow metal structures. Add hand-painted brush typography and doodles over the photo in a playful scrapbook/graffiti style, using rough white and yellow paint strokes. Include exactly eight visible text/doodle groups: 1) huge white “WILD” at the upper left, 2) yellow “JOY” below it with a yellow heart doodle and three white tick marks, 3) white “LIVING IN” and large yellow “COLOR” on the left side with a white underline, 4) white “FREE ENERGY” at the upper right with a small smiley face and yellow underline, 5) white star doodle near the right center, 6) white “PLAY” with yellow “LOUD” at the right side plus a white arrow pointing lower right, 7) small handwritten white phrase “Sunshine on my mind, freedom in my soul.” near the bottom left with a tiny yellow heart, and 8) white “NO RULES JUST PLAY.” near the bottom right with a yellow star. Keep the image realistic and bright, like candid outdoor photography, with clean skin tones, wind-touched hair, joyful expression, crisp details, no extra people, no watermark, and no additional text beyond the specified poster lettering.",2026-07-04T11:26:04.000Z,EN,"Product Marketing, Poster / Flyer, Photography, Illustration, Influencer / Model, Text / Typography",gpt-2,24,3,2,35,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:34.388160
pixel-battle-cat-buggy-27717,https://youmind.com/prompts/pixel-battle-cat-buggy-27717,Pixel Art Battle Cat Buggy,GPT Image 2,がびねこ,https://x.com/PawprintBit,,https://x.com/PawprintBit/status/2073371899678310510#reversed-0,"[""https://cms-assets.youmind.com/media/1783241319684_1n432o_HMYYts8bMAAbmXw-900x900.jpg""]","[""data\\images\\pixel-battle-cat-buggy-27717.jpg""]","Create a highly detailed pixel-art style illustration of a ferocious fluffy white battle cat riding a compact armored combat buggy, isolated on a clean white background. The cat is centered and oversized compared with the vehicle, with wild spiky cream-white fur, upright pink ears, a raised fluffy tail, round orange-tinted goggles, an open snarling mouth with visible fangs, and white paws gripping the vehicle. The vehicle is a squat off-road mini tank buggy with exactly 4 large chunky wheels, red rim accents, dusty tires, a beige armored front body, exposed pipes, bolts, vents, skull-like front detailing, and heavy mechanical parts. Add exactly 3 main weapon systems: a huge cannon mounted over the cat’s left shoulder pointing toward the viewer, a smaller front turret on the vehicle firing a bright orange muzzle flash to the left, and a gray multi-barrel rocket pod mounted behind the cat on the right. Include additional steampunk/mecha details such as straps, brass fittings, small tanks, cables, rivets, and worn metal panels. Show the buggy speeding forward with beige dust clouds and gritty debris trailing behind the rear wheels, plus small sparks and exhaust effects. Use a nostalgic 16-bit/32-bit game sprite aesthetic with visible pixel dithering, crisp jagged edges, limited warm earthy colors, high contrast, and intricate hand-pixelled texture; no text, no logo, no frame, no background scenery.",2026-07-04T11:42:36.000Z,EN,"Game Asset, Pixel Art, Animal / Creature, Character, Vehicle",gpt-2,44,241,1,1,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:27.943640
gothic-catgirl-lolita-27709,https://youmind.com/prompts/gothic-catgirl-lolita-27709,Gothic Cat-Eared Noble Girl,GPT Image 2,AI Bard Guild,https://x.com/IsekaiBardGuild,https://unavatar.io/x/IsekaiBardGuild,https://x.com/IsekaiBardGuild/status/2073372500667355530#reversed-0,"[""https://cms-assets.youmind.com/media/1783241315415_i20k8k_HMXv76aboAAU-CA.jpg"", ""https://cms-assets.youmind.com/media/1783241315410_onwe8z_HMXv-IvasAAbLhw-900x1200.jpg"", ""https://cms-assets.youmind.com/media/1783241315402_xok7mo_HMXwDpCaAAEMdV2.jpg"", ""https://cms-assets.youmind.com/media/1783241316148_17u5ra_HMXwEa0bYAADYBc-900x1200.jpg""]","[""data\\images\\gothic-catgirl-lolita-27709.jpg"", ""data\\images\\gothic-catgirl-lolita-27709_2.jpg"", ""data\\images\\gothic-catgirl-lolita-27709_3.jpg"", ""data\\images\\gothic-catgirl-lolita-27709_4.jpg""]","Create a polished anime fantasy illustration of an elegant cat-eared noble girl standing gracefully on a grand curved staircase inside a dark Gothic mansion or cathedral. She is a young anime girl with very long flowing silvery white hair, pale skin, soft blush, bright red eyes, and white cat ears; add a fluffy white cat tail visible behind her skirt. Her expression is gentle, poised, and aristocratic, looking toward the viewer. Dress her in an ornate red and black gothic lolita outfit: red puff-sleeve bodice, black corset waist, layered ruffled skirt, black lace trim, black ribbon bows, rose brooch at the collar, and a red rose hair accessory with black ribbons. Include thigh-high black stockings with garter lace and glossy black Mary Jane heels. The setting is a dramatic interior with a red-carpeted sweeping staircase, dark carved wooden railings, tall pointed stained-glass windows glowing purple and pink, arched stone architecture, and ornate gold chandeliers with lit candles. Use cinematic lighting with soft sunbeams through the stained glass, warm candle glow, subtle dust motes, high contrast shadows, and rich jewel tones. Composition: vertical portrait, full body visible from head to shoes, character centered slightly right, staircase curves behind her, elegant fantasy anime style, highly detailed fabric folds, glossy highlights, delicate linework, no text, no watermark.",2026-07-04T11:45:00.000Z,EN,"Game Asset, Social Media Post, Anime / Manga, Character, Architecture / Interior",gpt-2,21,287,3,0,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:23.502773
romantic-traditional-wedding-portrait-27633,https://youmind.com/prompts/romantic-traditional-wedding-portrait-27633,South Asian Wedding Couple Portrait,GPT Image 2,Muhammad Jamil,https://x.com/JamilAI55,https://unavatar.io/x/JamilAI55,https://x.com/JamilAI55/status/2073378979344760952,"[""https://cms-assets.youmind.com/media/1783241269427_kvtmb9_HMYfFxcWIAAXII2.jpg""]","[""data\\images\\romantic-traditional-wedding-portrait-27633.jpg""]","A romantic portrait of a young South Asian couple wearing elegant pastel sage-green traditional ethnic outfits. The handsome man has thick wavy black hair, light stubble, and a warm smile, looking lovingly over his shoulder. The beautiful woman stands behind him with her arms wrapped around his shoulders, gazing at him with an affectionate smile. She has long, silky black hair, delicate earrings, soft natural makeup, and a graceful expression. Both wear embroidered festive attire with intricate traditional detailing. Soft golden-hour lighting, dreamy bokeh background, cinematic composition, ultra-realistic skin texture, natural expressions, premium wedding photography style, shallow depth of field, high detail, vibrant colors, 8K HDR, DSLR quality, sharp focus, luxurious aesthetic, romantic atmosphere, vertical portrait, 9:16.",2026-07-04T12:10:44.000Z,EN,"Social Media Post, Photography, Group / Couple, Portrait / Selfie",gpt-2,28,773,14,10,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:17.371890
gothic-ribbon-album-cover-27724,https://youmind.com/prompts/gothic-ribbon-album-cover-27724,Gothic Ribbon Dance Album Cover,GPT Image 2,🐹🐹,https://x.com/hmst_yyyy,https://unavatar.io/x/hmst_yyyy,https://x.com/hmst_yyyy/status/2073380126319120719#reversed-0,"[""https://cms-assets.youmind.com/media/1783241322713_kmackw_HMYgO9qacAAbELW.jpg""]","[""data\\images\\gothic-ribbon-album-cover-27724.jpg""]","Create a monochrome vertical album-cover illustration in highly detailed Japanese gothic manga style. Show exactly 2 central figures in a close, eerie ballroom-dance pose: on the left, an androgynous young man with pale silver messy layered hair partly covering one eye, long braided hair over his shoulder, a dark formal suit, white shirt, and black tie, gazing upward with a detached, melancholic expression; on the right, a faceless human-shaped partner entirely constructed from countless pale ribbon strips, seen mostly from the back and side, with a head, torso, arms, and waist wrapped like a woven mummy or doll. The man holds the ribbon figure's hand at the lower center while his other arm draws close around the figure, suggesting an intimate dance or embrace. Surround them with many long dangling and swirling ribbons from the top and sides, overlapping the characters and filling the frame; the background is pure black for stark contrast. Include exactly 5 visible flower-like ribbon knots on the ribbon partner: one at the back of the head, one at the upper back/shoulder area, one on the right upper arm, one near the waist/hip, and one near the lower right skirt area. Use fine pencil crosshatching, thin ink lines, soft gray shading, high-detail hair strands, delicate fabric texture, and a haunting romantic horror mood. Add centered Japanese title text across the middle reading —手遊び—, in elegant white Mincho-style serif lettering, with thin horizontal lines on both sides and a small ornate floral filigree decoration underneath. Tall smartphone aspect ratio, no color except black, white, and gray, no watermark, no extra text.",2026-07-04T12:15:18.000Z,EN,"Comic / Storyboard, Illustration, Comic / Graphic Novel, Group / Couple, Character, Text / Typography",gpt-2,9,133,0,0,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:12.657806
designer-portfolio-homepage-27702,https://youmind.com/prompts/designer-portfolio-homepage-27702,Minimalist Designer Portfolio Homepage,GPT Image 2,Leon Lin,https://x.com/LexnLin,https://unavatar.io/x/LexnLin,https://x.com/LexnLin/status/2073381692492976623#reversed-0,"[""https://cms-assets.youmind.com/media/1783241311029_l2i4l1_HMYhgQIWoAAk3Iq-900x507.jpg"", ""https://cms-assets.youmind.com/media/1783241311028_nildgu_HMYhhKSWcAAmWCB-900x507.jpg"", ""https://cms-assets.youmind.com/media/1783241311031_jaqy70_HMYhj0VWcAAEMVR-900x507.jpg"", ""https://cms-assets.youmind.com/media/1783241311663_xb6izd_HMYhlGIXoAAZjzC-900x507.jpg""]","[""data\\images\\designer-portfolio-homepage-27702.jpg"", ""data\\images\\designer-portfolio-homepage-27702_2.jpg"", ""data\\images\\designer-portfolio-homepage-27702_3.jpg"", ""data\\images\\designer-portfolio-homepage-27702_4.jpg""]","Goal: Create a refined portfolio homepage hero design for Ari Vale, a designer/developer, with an editorial Swiss-style layout and layered architectural collage.

Canvas: Wide desktop website screenshot, 16:9 aspect ratio, off-white warm paper background, lots of negative space, subtle grain texture, premium minimalist aesthetic.

Layout: Top navigation bar with 6 visible items: left wordmark “Ari Vale” followed by a small blue dot, centered navigation links “Work”, “About”, “Studio”, “Notes”, and a rounded outlined “Menu” pill on the far right with a blue dot. Main hero content sits slightly left of center with a small eyebrow label, oversized typography, short description, and two calls to action. Layer abstract monochrome architectural images around the text: a collage on the left and a larger stepped architectural image on the right, with a small still-life image below it. Bottom footer strip contains availability text on the left, a thin horizontal divider line through the center, and social links on the right.

Text content: Eyebrow above headline reads “ARI VALE — DESIGNER & DEVELOPER” with a small blue dot. Main headline reads exactly: “I design digital experiences, brands, and creative web.” Make the word “design” italic, elegant serif, while the rest of the headline is large modern sans serif. Supporting copy reads: “Strategy-led design and development for forward-thinking companies and cultural projects.” Primary button text: “View Selected Work” with a small arrow. Secondary text link: “About Ari” with an arrow. Left black project card reads “REFIX ANADOL”, “Machine Hallucinations”, and “Immersive Exhibition”, with a small arrow in the bottom-right corner. Small right-side stacked words read “VISION”, “MADE”, “DIGITAL”. Bottom-left text reads “AVAILABLE FOR NEW PROJECTS”. Bottom-right social links are exactly 3 items: “LINKEDIN”, “DRIBBBLE”, “INSTAGRAM”, followed by an arrow. Add a vertical coordinate label on the far right reading “40.7128° N, 74.0060° W”.

Visual details: Use a restrained palette of warm ivory, black, charcoal gray, pale concrete gray, and vivid cobalt blue accents. Typography should combine a clean grotesk sans serif with one high-contrast italic serif word. Use thin hairline rules, tiny uppercase labels with generous letter spacing, and precise alignment. Add exactly 5 blue accent elements: the wordmark dot, the eyebrow dot, the menu dot, a blue tape-like diagonal rectangle over the left architectural photo, and a small blue plus/cross near the right-side words. Add a faint circular stamp graphic near the lower-right collage with tiny unreadable uppercase text and a small arrow inside.

Image elements count: Include exactly 5 photographic/texture blocks: 1 tall beige concrete rectangle behind the left collage, 1 pale curved building photo on the left, 1 small rocky texture photo below it, 1 large pale architectural staircase/ribbed structure image on the right, and 1 small still-life image with a white sphere and stone beneath the right image. Also include exactly 1 black overlay project card on the left collage.

Constraints: Make it look like a high-end live website landing page, not a poster. Keep all text crisp and legible, avoid browser chrome, avoid extra navigation items, avoid extra images, avoid colorful gradients, avoid stock-photo people, and preserve spacious asymmetrical balance.",2026-07-04T12:21:31.000Z,EN,"App / Web Design, Minimalism, Architecture / Interior, Text / Typography",gpt-2,259,13,6,17,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:07.874562
moonlight-night-portrait-room-27682,https://youmind.com/prompts/moonlight-night-portrait-room-27682,Cozy Moonlight Night Portrait,GPT Image 2,Prompt アトリエ｜AI画像プロンプト,https://x.com/CyberTotal2026,https://unavatar.io/x/CyberTotal2026,https://x.com/CyberTotal2026/status/2073381814371283285,"[""https://cms-assets.youmind.com/media/1783241299003_deqajd_HMSA0XWbkAAXGxz-900x1200.jpg""]","[""data\\images\\moonlight-night-portrait-room-27682.jpg""]","Subject: 
Moonlit Room

Person/Expression: 
woman in her 20s. Naturally small face with a soft outline. dark brown short bob with light outward flips and loose movement at the ends. Bangs are thin and just touch the eyes. Makeup is a transparent Japanese-style look, with smooth skin that is not overly processed. Expression is calm and slightly sleepy, lips lightly parted, with a gentle gaze towards the camera. Delicate swinging heart-motif earrings on the ears.

Clothing/Pose: 
Light gray soft ribbed camisole and matching room shorts. Natural loungewear for relaxing indoors. The woman is leaning as if sitting on the floor, tilting her upper body slightly back. Her left arm is lightly bent next to her head, with fingertips touching her hair. Her right arm is naturally down at her side. Both knees are up in front, in a composition where the legs enter the foreground. A relaxed night posture with effortless weight distribution.

Background/Light: 
Night interior. Wooden floor, large window behind, blue night sky and a round moon outside with distant city lights. Large houseplant in the back left, shelf and small lamp in the back right, with pale curtains. The primary light source is the warm lamp in the back right, casting soft orange-toned light on the right side of the face, shoulder, neck, and chest. Secondary blue moonlight enters through the window, coolly outlining the hair and left-side atmosphere. Shadows are not too deep, with a calm night-appropriate contrast.

Composition/Camera: 
Vertical composition. Medium shot from a slightly low angle, with legs in the foreground and the face/upper body in the center. The subject is in the center of the frame. The camera is somewhat close, showing from the face to the abdomen clearly. Focus is on the eyes and face. Background is moderately blurred, preserving the atmosphere of the indoor moonlit night.

Texture/Style: 
Realistic photography-style visuals. Carefully depicted natural skin texture, soft shadows, ribbed fabric feel, and calm reflections on the wooden floor. Values the contrast between the warm lamp light and cold moonlight, creating a quiet night mood overall. Avoids excessive saturation or unnatural gloss, finishing as an elegant night portrait.

Negative: 
Unnatural face, misaligned gaze, extra or missing fingers, fused limbs, broken joints, floating hair, broken clothing, asymmetrical earrings, excessive exposure, vulgar expressions, plastic skin, excessive skin correction, shadows inconsistent with light sources, distorted background objects, unnecessary text, logos, or watermarks.",2026-07-04T12:22:00.000Z,JA,"Social Media Post, Profile / Avatar, Photography, Portrait / Selfie, Architecture / Interior",gpt-2,232,18,6,6,0,https://youmind.com/vi-VN/prompts/image,2026-07-27T19:10:02.333273
