post_id,url,title,ai_model,author_name,author_url,author_avatar_url,original_post_url,image_urls,image_paths,prompt,published_date,original_language,category,source_category,likes_count,views_count,shares_count,comments_count,saved_count,cited_from,created_at
youtube-thumbnail-comparison-human-effort-vs--ai-efficiency-1843,https://youmind.com/vi-VN/prompts/youtube-thumbnail-comparison-human-effort-vs--ai-efficiency-1843,So sánh hình thu nhỏ trên YouTube: Công sức con người so với hiệu quả của AI,GPT Image 1.5,なかあき【AI苦手な会社員も月5万を1日30分で目指す伴走者】,https://x.com/nakaaki04,,https://x.com/nakaaki04/status/2001070666913902704,"[""https://cms-assets.youmind.com/media/1765948279488_zwny71_G8U7KCZa4AIg0xx-900x600.jpg"", ""https://cms-assets.youmind.com/media/1765948279431_f9zwld_G8U7KoIa4AQk4zk-900x503.jpg""]","[""data\\images\\youtube-thumbnail-comparison-human-effort-vs--ai-efficiency-1843.jpg"", ""data\\images\\youtube-thumbnail-comparison-human-effort-vs--ai-efficiency-1843_2.jpg""]","Một hình ảnh thu nhỏ trên YouTube với bố cục chia đôi màn hình. Phía bên trái có tông màu nâu đỏ, hiển thị một người đang làm việc quá sức, mệt mỏi tại một chiếc bàn cũ, với văn bản tiếng Nhật màu đỏ phía trên ghi ""Wasted Effort"". Phía bên phải có màu xanh lam tương lai, hiển thị một robot AI kiểu dáng đẹp đang làm việc ngay lập tức, với văn bản tiếng Nhật màu xanh lam phía trên ghi ""0 Seconds with AI"". Ở giữa, văn bản lớn màu trắng có viền đen ghi ""VS Human"". Ánh sáng điện ảnh. --ar 16:9",2025-12-16T23:23:19.000Z,EN,"Hình thu nhỏ trên YouTube, Điện ảnh / Ảnh tĩnh từ phim, Cyberpunk / Khoa học viễn tưởng, Văn bản / Kiểu chữ, Nhân vật",gpt-1.5,6,172,0,2,0,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:34:06.518366
yoruba-man-with-pele-tribal-marks-stress-test-prompt-2329,https://youmind.com/vi-VN/prompts/yoruba-man-with-pele-tribal-marks-stress-test-prompt-2329,Yoruba Man with 'Pele' Tribal Marks Stress Test Prompt,GPT Image 1.5,M!ke,https://x.com/quipsy,,https://x.com/quipsy/status/2001214614302851205,"[""https://cms-assets.youmind.com/media/1766035350874_d1ht4m_G8W9iX9WUAk5dmL.jpg"", ""https://cms-assets.youmind.com/media/1766035350878_hbosjv_G8W9t1gXoAYDQ3N.jpg""]","[""data\\images\\yoruba-man-with-pele-tribal-marks-stress-test-prompt-2329.jpg"", ""data\\images\\yoruba-man-with-pele-tribal-marks-stress-test-prompt-2329_2.jpg""]","Chân dung siêu thực của một người đàn ông Oyo Yoruba với những vết sẹo bộ lạc ""Pele"" (ba vết sẹo dọc rõ rệt trên mỗi má). Kết cấu da phải thể hiện rõ sẹo lồi đã lành. Không có vết sẹo ngang.",2025-12-17T08:55:19.000Z,EN,"Hồ sơ / Ảnh đại diện, Nhiếp ảnh, Chân dung / Ảnh tự chụp",gpt-1.5,0,159,0,1,0,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:34:00.497643
y2k-streetwear-fashion-editorial-portrait-json-format-1851,https://youmind.com/vi-VN/prompts/y2k-streetwear-fashion-editorial-portrait-json-format-1851,Chân dung biên tập thời trang đường phố Y2K (định dạng JSON),GPT Image 1.5,JOY JULIET,https://x.com/JoyJuliet_AI,,https://x.com/JoyJuliet_AI/status/2000910690740208055,"[""https://cms-assets.youmind.com/media/1765948285803_69f2yi_G8Spq1ya4AcV3k--900x845.jpg""]","[""data\\images\\y2k-streetwear-fashion-editorial-portrait-json-format-1851.jpg""]","```json
{
  ""task"": ""fashion_editorial_portrait"",
  ""face_and_hair"": {
    ""preserve_face"": true,
    ""preserve_hairstyle"": true,
    ""remove_glasses"": true
  },
  ""subject"": {
    ""role"": ""urban_fashion_model"",
    ""style"": ""Y2K_streetwear"",
    ""clothing"": {
      ""top"": ""oversized_graphic_t_shirt"",
      ""pants"": ""loose_military_green_cargo_pants"",
      ""shoes"": ""chunky_gen_z_sneakers""
    },
    ""pose"": {
      ""position"": ""sitting_on_ground"",
      ""environment"": ""colorful_outdoor_basketball_court"",
      ""legs"": ""one_knee_raised_other_leg_extended"",
      ""hands"": {
        ""hand_1"": ""resting_on_raised_knee"",
        ""hand_2"": ""relaxed_on_ground_or_side""
      },
      ""head"": ""slightly_tilted_down"",
      ""gaze"": ""looking_directly_into_camera"",
      ""expression"": ""confident_fashion_arrogant""
    }
  },
  ""camera_and_lighting"": {
    ""angle"": ""high_angle_picado"",
    ""camera_type"": ""mirrorless_camera"",
    ""lens"": ""slightly_wide_angle_soft_fisheye"",
    ""framing"": ""wide_frame_full_body"",
    ""lighting"": ""natural_daylight"",
    ""background"": {
      ""sky"": ""realistic_blue_sky"",
      ""cityscape"": ""Jakarta_cityscape_in_background"",
      ""court_surface"": ""colorful_outdoor_basketball_court_with_painted_lines""
    }
  },
  ""graphic_elements"": {
    ""style"": ""urban_doodles_and_pop_art"",
    ""placement"": ""around_model_and_environment"",
    ""elements"": [
      ""colorful_flames_rising_behind_and_around_subject"",
      ""blood_strike_game_inspired_drawings_floating"",
      ""liquid_fluid_shapes_flowing_around_body"",
      ""abstract_funky_strokes"",
      ""oversized_stickers"",
      ""dynamic_typography_doodles""
    ],
    ""colors"": [
      ""neon_yellow"",
      ""neon_blue"",
      ""neon_cyan"",
      ""neon_orange"",
      ""neon_red""
    ],
    ""behavior"": {
      ""size_variation"": ""small_medium_large_mixed"",
      ""distribution"": ""random_but_visually_balanced"",
      ""integration"": ""blending_with_subject_clothing_folds_accessories_and_background_walls"",
      ""visibility"": ""clearly_visible_not_too_tiny""
    }
  },
  ""look_and_mood"": {
    ""vibe"": ""vibrant_funky_Y2K"",
    ""energy"": ""high_energy_playful"",
    ""color_saturation"": ""high"",
    ""contrast"": ""strong"",
    ""aesthetic"": ""youth_urban_culture_with_modern_pop_art_twist"",
    ""tone"": ""editorial_but_fun"",
    ""blend"": ""real_photography_plus_bold_illustration_overlay"",
    ""use_case"": ""funky_colorful_surreal_urban_clothing_advertising""
  }
}
```",2025-12-16T12:47:38.000Z,EN,"Tiếp thị sản phẩm, Bài đăng trên mạng xã hội, Nhiếp ảnh, Minh họa, Người có ảnh hưởng / Người mẫu, Mặt hàng thời trang",gpt-1.5,58,95,51,16,46,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:55.622314
western-manuscript-style-illustration-for-orychophragmus-violaceus-2568,https://youmind.com/vi-VN/prompts/western-manuscript-style-illustration-for-orychophragmus-violaceus-2568,Minh họa phong cách bản thảo phương Tây cho 'Orychophragmus violaceus',GPT Image 1.5,Vania,https://x.com/VantageAdol,,https://x.com/VantageAdol/status/2001954657380470944,"[""https://cms-assets.youmind.com/media/1766231615519_mk1ya6_G8hfI8waQAAVyOE-900x600.jpg""]","[""data\\images\\western-manuscript-style-illustration-for-orychophragmus-violaceus-2568.jpg""]",Vẽ 'Orychophragmus violaceus' theo phong cách và thiết kế của một tài liệu cổ phương Tây. Sử dụng bố cục hai trang của tài liệu cổ cho bản vẽ. Tạo ấn tượng rằng nhiều văn bản đang giải thích những điều xung quanh bức tranh. Làm cho nó trông cũ kỹ và đã qua sử dụng.,2025-12-19T09:55:59.000Z,JA,"Infographic / Hình ảnh giáo dục, Minh họa, Cổ điển / Cổ điển, Văn bản / Kiểu chữ, Tóm tắt / Bối cảnh",gpt-1.5,0,38,0,0,2,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:50.677876
warrior-in-action-pose-on-battlefield-1850,https://youmind.com/vi-VN/prompts/warrior-in-action-pose-on-battlefield-1850,Chiến binh trong tư thế hành động trên chiến trường,GPT Image 1.5,Johns john,https://x.com/Johnsjohn17154,,https://x.com/Johnsjohn17154/status/2000943013078687823,"[""https://cms-assets.youmind.com/media/1765948284797_txggwm_G8THD-5a4AQY8Xy-900x672.jpg""]","[""data\\images\\warrior-in-action-pose-on-battlefield-1850.jpg""]","Một chàng trai trẻ vạm vỡ như trong ảnh đang đứng trong tư thế hành động đầy năng động, khuôn mặt giống hệt 100%. Anh ta có biểu cảm chiến binh dữ dội trên khuôn mặt, với mái tóc bay trong gió. Anh ta đang cầm một thanh kiếm dài hoặc dao rựa dính máu trong tay. Anh ta mặc một chiếc áo ba lỗ màu đen rách rưới, dính đầy máu và quần tối màu, bám bụi. Cánh tay và ngực anh ta dính đầy máu và bụi bẩn, để lộ những cơ bắp căng cứng, mồ hôi và chi tiết bụi bẩn hiện rõ. Bối cảnh là một chiến trường hỗn loạn, đầy khói, tối tăm với những mảnh vỡ bay tứ tung.",2025-12-16T14:56:04.000Z,EN,"Tài sản trò chơi, Truyện tranh / Bảng phân cảnh, Hồ sơ / Ảnh đại diện, Nhiếp ảnh, Chân dung / Ảnh tự chụp, Nhân vật",gpt-1.5,29,332,2,24,0,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:45.684366
vtuber-gaming-thumbnail-creation-prompt-2538,https://youmind.com/vi-VN/prompts/vtuber-gaming-thumbnail-creation-prompt-2538,Lời nhắc tạo hình thu nhỏ chơi game VTuber,GPT Image 1.5,rei@AI art,https://x.com/rei_mikagura_AI,,https://x.com/rei_mikagura_AI/status/2001524000619716669,"[""https://cms-assets.youmind.com/media/1766117345632_3tdx9s_G8bVU5qakAANtgS-900x600.jpg"", ""https://cms-assets.youmind.com/media/1766117346483_3h3v9p_G8bWHlNacAAnGcK-900x600.jpg"", ""https://cms-assets.youmind.com/media/1766117346215_ft2299_G8bVRmXakAA_X5R-900x600.jpg""]","[""data\\images\\vtuber-gaming-thumbnail-creation-prompt-2538.jpg"", ""data\\images\\vtuber-gaming-thumbnail-creation-prompt-2538_2.jpg"", ""data\\images\\vtuber-gaming-thumbnail-creation-prompt-2538_3.jpg""]","Giữ nguyên phong cách và trang phục của nhân vật, thay đổi cảnh thành nhân vật đang nắm chặt bộ điều khiển trò chơi một cách căng thẳng, và tạo hình ảnh thu nhỏ theo phong cách của một buổi phát trực tiếp trò chơi của VTuber hư cấu.

Họ trông hơi quá mạnh mẽ, vì vậy hãy làm cho họ tinh tế và dễ thương hơn. Ngoài ra, kích thước vòng một nên khiêm tốn hơn, và tay áo nên là tay áo dài.

Sửa lỗi ""Ge"" bị sập ở góc trên bên trái.",2025-12-18T05:24:42.000Z,JA,"Hình thu nhỏ trên YouTube, Tài sản trò chơi, Anime / Manga, Minh họa, Nhân vật",gpt-1.5,22,539,2,1,3,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:40.761084
visually-stunning-slide-generation-from-content-1776,https://youmind.com/vi-VN/prompts/visually-stunning-slide-generation-from-content-1776,Tạo Slide Ấn Tượng Từ Nội Dung,GPT Image 1.5,Simon Smith,https://x.com/_simonsmith,,https://x.com/_simonsmith/status/2001031492831731921,"[""https://cms-assets.youmind.com/media/1765948209508_n16gos_G8UXVdTXkAMeAqf-900x600.jpg""]","[""data\\images\\visually-stunning-slide-generation-from-content-1776.jpg""]","Biến nội dung này thành một slide trực quan ấn tượng. Đảm bảo kết quả là bố cục ngang. Bạn có toàn quyền tự do thiết kế. Bạn không cần phải bị giới hạn bởi vị trí của mọi thứ trên slide này. Bạn không cần phải giới hạn bản thân với loại biểu đồ được hiển thị. Hãy xem xét nội dung và đưa ra một cách để trực quan hóa nó sao cho thú vị, năng động và hấp dẫn về mặt thị giác.",2025-12-16T20:47:39.000Z,EN,"Infographic / Hình ảnh giáo dục, Thiết kế ứng dụng / web, Minh họa, Chủ nghĩa tối giản, Sơ đồ / Biểu đồ",gpt-1.5,7,878,0,2,3,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:34.643657
virtual-try-onconcept-generation-2871,https://youmind.com/vi-VN/prompts/virtual-try-onconcept-generation-2871,Thử Đồ Ảo/Tạo Khái Niệm,GPT Image 1.5,DΞV,https://x.com/junwatu,https://unavatar.io/x/junwatu,https://x.com/junwatu/status/2002197265763729879,"[""https://cms-assets.youmind.com/media/1766388931149_nptt55_G8kW5snbMAE8DtP.jpg""]","[""data\\images\\virtual-try-onconcept-generation-2871.jpg""]",Mặc quần áo từ các hình ảnh tham khảo phía trên cho người trong hình ảnh bên trái,2025-12-20T02:00:01.000Z,EN,,gpt-1.5,0,42,0,0,1,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:29.587803
unfiltered-mirror-selfie-with-tech-leaders-1858,https://youmind.com/vi-VN/prompts/unfiltered-mirror-selfie-with-tech-leaders-1858,Ảnh selfie chân thực với các nhà lãnh đạo công nghệ,GPT Image 1.5,Awais,https://x.com/insanysays,,https://x.com/insanysays/status/2001146303318016383,"[""https://cms-assets.youmind.com/media/1766035310453_gtwuie_G8V_8YEbAAAp3Kz.jpg"", ""https://cms-assets.youmind.com/media/1766035310011_3o9v28_G8V_8TuaAAAUVF-.jpg""]","[""data\\images\\unfiltered-mirror-selfie-with-tech-leaders-1858.jpg"", ""data\\images\\unfiltered-mirror-selfie-with-tech-leaders-1858_2.jpg""]","Một bức ảnh selfie gương nghiệp dư thô mộc, không qua chỉnh sửa, được chụp bằng iPhone 16 Pro Max bên trong một căn phòng hiện đại, có người ở. Sam Altman đứng gần gương nhất, cầm điện thoại một cách tự nhiên ngang ngực, tư thế thoải mái, biểu cảm thư giãn. Elon Musk và Jensen Huang đứng cạnh anh ấy, vị trí không trang trọng, nhìn về phía gương với các góc hơi lệch. Kết cấu da tự nhiên với lỗ chân lông và những khuyết điểm nhỏ có thể nhìn thấy, không chỉnh sửa hay dùng bộ lọc làm đẹp. Ánh sáng trong nhà ấm áp với bóng đổ không đều, phản chiếu nhẹ nhàng, nhiễu hạt nhẹ. Bố cục hơi lệch tâm, sắp xếp không hoàn hảo, chân thực như chụp bằng điện thoại thông minh — tự nhiên, gần gũi và không dàn dựng.",2025-12-17T04:23:52.000Z,EN,"Bài đăng trên mạng xã hội, Nhiếp ảnh, Nhóm / Cặp đôi, Chân dung / Ảnh tự chụp",gpt-1.5,0,97,0,1,1,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:24.899140
underwater-product-photoshoot-with-caustic-light-2510,https://youmind.com/vi-VN/prompts/underwater-product-photoshoot-with-caustic-light-2510,Chụp ảnh sản phẩm dưới nước với ánh sáng Caustic,GPT Image 1.5,1LittleCoder💻,https://x.com/1littlecoder,https://unavatar.io/x/1littlecoder,https://x.com/1littlecoder/status/2001672903792955756,"[""https://cms-assets.youmind.com/media/1766117314070_vide3k_G8detsYakAYU8D6-900x600.jpg"", ""https://cms-assets.youmind.com/media/1766117314231_9onhaj_G8de5B3akAg29y1.jpg""]","[""data\\images\\underwater-product-photoshoot-with-caustic-light-2510.jpg"", ""data\\images\\underwater-product-photoshoot-with-caustic-light-2510_2.jpg""]","[Hình ảnh tham khảo] hoàn toàn chìm trong làn nước trong vắt màu ngọc lam, được chụp bằng kỹ thuật chụp ảnh dưới nước độ phân giải cực cao. Ánh sáng mặt trời xuyên qua mặt nước phía trên, tạo ra những hoa văn ánh sáng khúc xạ phức tạp lấp lánh và nhảy múa trên chủ thể và mặt nước xung quanh. Khung cảnh truyền tải sự trong trẻo nguyên sơ không một hạt vật chất, nhấn mạnh cảm giác lơ lửng không trọng lượng và chuyển động thanh bình. Các chi tiết nhỏ được ghi lại bằng tốc độ cao, với những bong bóng nhỏ li ti và vải hoặc tóc bay lượn làm tăng thêm cảm giác sang trọng dưới nước. Tổng thể thẩm mỹ là sạch sẽ, sảng khoái và thanh tao, với tông màu tự nhiên mềm mại, dải tương phản động cao và chủ nghĩa hiện thực điện ảnh.",2025-12-18T15:16:24.000Z,EN,"Bài đăng trên mạng xã hội, Nhiếp ảnh, Điện ảnh / Ảnh tĩnh từ phim, Tóm tắt / Bối cảnh",gpt-1.5,27,1,6,6,25,https://youmind.com/vi-VN/prompts/image,2026-07-25T03:33:19.725963
